year,geo,dguid,geo_level,is_national,gender,age,population
2023,Alberta,2021A000248,province,False,Men+,16_plus,1896428
2023,Alberta,2021A000248,province,False,Total - gender,16_plus,3784641
2023,Alberta,2021A000248,province,False,Women+,16_plus,1888213
2023,British Columbia,2021A000259,province,False,Men+,16_plus,2322406
2023,British Columbia,2021A000259,province,False,Total - gender,16_plus,4713595
2023,British Columbia,2021A000259,province,False,Women+,16_plus,2391189
2023,Canada,2021A000011124,national,True,Men+,16_plus,16588615
2023,Canada,2021A000011124,national,True,Total - gender,16_plus,33424905
2023,Canada,2021A000011124,national,True,Women+,16_plus,16836290
2023,Manitoba,2021A000246,province,False,Men+,16_plus,589162
2023,Manitoba,2021A000246,province,False,Total - gender,16_plus,1171883
2023,Manitoba,2021A000246,province,False,Women+,16_plus,582721
2023,New Brunswick,2021A000213,province,False,Men+,16_plus,346522
2023,New Brunswick,2021A000213,province,False,Total - gender,16_plus,704786
2023,New Brunswick,2021A000213,province,False,Women+,16_plus,358264
2023,Newfoundland and Labrador,2021A000210,province,False,Men+,16_plus,228650
2023,Newfoundland and Labrador,2021A000210,province,False,Total - gender,16_plus,464878
2023,Newfoundland and Labrador,2021A000210,province,False,Women+,16_plus,236228
2023,Northwest Territories,2021A000261,province,False,Men+,16_plus,18272
2023,Northwest Territories,2021A000261,province,False,Total - gender,16_plus,35497
2023,Northwest Territories,2021A000261,province,False,Women+,16_plus,17225
2023,Nova Scotia,2021A000212,province,False,Men+,16_plus,440917
2023,Nova Scotia,2021A000212,province,False,Total - gender,16_plus,898034
2023,Nova Scotia,2021A000212,province,False,Women+,16_plus,457117
2023,Nunavut,2021A000262,province,False,Men+,16_plus,13903
2023,Nunavut,2021A000262,province,False,Total - gender,16_plus,27346
2023,Nunavut,2021A000262,province,False,Women+,16_plus,13443
2023,Ontario,2021A000235,province,False,Men+,16_plus,6493779
2023,Ontario,2021A000235,province,False,Total - gender,16_plus,13129640
2023,Ontario,2021A000235,province,False,Women+,16_plus,6635861
2023,Prince Edward Island,2021A000211,province,False,Men+,16_plus,71353
2023,Prince Edward Island,2021A000211,province,False,Total - gender,16_plus,146934
