"REF_DATE","GEO","DGUID","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017","Newfoundland and Labrador","2021A000210","Men+","16 to 64 years","Persons","249","units","0","v467290","2.2.97","172449","","","","0"
"2018","Newfoundland and Labrador","2021A000210","Men+","16 to 64 years","Persons","249","units","0","v467290","2.2.97","170227","","","","0"
"2019","Newfoundland and Labrador","2021A000210","Men+","16 to 64 years","Persons","249","units","0","v467290","2.2.97","168275","","","","0"
"2020","Newfoundland and Labrador","2021A000210","Men+","16 to 64 years","Persons","249","units","0","v467290","2.2.97","166404","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Men+","16 to 64 years","Persons","249","units","0","v467290","2.2.97","164647","","","","0"
"2022","Newfoundland and Labrador","2021A000210","Men+","16 to 64 years","Persons","249","units","0","v467290","2.2.97","165273","","","","0"
"2023","Newfoundland and Labrador","2021A000210","Men+","16 to 64 years","Persons","249","units","0","v467290","2.2.97","167314","","","","0"
"2024","Newfoundland and Labrador","2021A000210","Men+","16 to 64 years","Persons","249","units","0","v467290","2.2.97","169369","","","","0"
"2025","Newfoundland and Labrador","2021A000210","Men+","16 to 64 years","Persons","249","units","0","v467290","2.2.97","169117","","","","0"
"2017","Newfoundland and Labrador","2021A000210","Men+","65 years and older","Persons","249","units","0","v467002","2.2.104","49330","","","","0"
"2018","Newfoundland and Labrador","2021A000210","Men+","65 years and older","Persons","249","units","0","v467002","2.2.104","51405","","","","0"
"2019","Newfoundland and Labrador","2021A000210","Men+","65 years and older","Persons","249","units","0","v467002","2.2.104","53529","","","","0"
"2020","Newfoundland and Labrador","2021A000210","Men+","65 years and older","Persons","249","units","0","v467002","2.2.104","55631","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Men+","65 years and older","Persons","249","units","0","v467002","2.2.104","57716","","","","0"
"2022","Newfoundland and Labrador","2021A000210","Men+","65 years and older","Persons","249","units","0","v467002","2.2.104","59534","","","","0"
"2023","Newfoundland and Labrador","2021A000210","Men+","65 years and older","Persons","249","units","0","v467002","2.2.104","61336","","","","0"
"2024","Newfoundland and Labrador","2021A000210","Men+","65 years and older","Persons","249","units","0","v467002","2.2.104","63157","","","","0"
"2025","Newfoundland and Labrador","2021A000210","Men+","65 years and older","Persons","249","units","0","v467002","2.2.104","64890","","","","0"
"2017","Newfoundland and Labrador","2021A000210","Women+","All ages","Persons","249","units","0","v466985","2.3.1","267087","","","","0"
"2018","Newfoundland and Labrador","2021A000210","Women+","All ages","Persons","249","units","0","v466985","2.3.1","266687","","","","0"
"2019","Newfoundland and Labrador","2021A000210","Women+","All ages","Persons","249","units","0","v466985","2.3.1","266413","","","","0"
"2020","Newfoundland and Labrador","2021A000210","Women+","All ages","Persons","249","units","0","v466985","2.3.1","266215","","","","0"
